Sat Mar  3 11:20:07 2007: rmetasim landscape output
locus-2 
locus-3 
POP
Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002003  
 Class-0 Gen-99, 055055  002003  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 006055  001001  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 055091  001002  
 Class-0 Gen-99, 006055  001002  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 006055  001001  
 Class-0 Gen-99, 006055  001001  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  003003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 006055  001003  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 055055  002003  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  003003  
 Class-0 Gen-99, 055055  002003  
 Class-0 Gen-99, 055091  001003  
 Class-0 Gen-99, 055091  002003  
 Class-0 Gen-99, 055091  001002  
 Class-0 Gen-99, 006006  001001  
 Class-0 Gen-99, 006055  003003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 006055  001002  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  002003  
 Class-0 Gen-99, 055091  001003  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 006006  003003  
 Class-0 Gen-99, 006091  003003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 006055  001001  
 Class-0 Gen-99, 055091  001002  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  002003  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 055055  001001  
 Class-0 Gen-99, 055091  001003  
 Class-0 Gen-99, 006055  001003  
 Class-0 Gen-99, 055055  002003  
 Class-0 Gen-99, 055055  002003  
 Class-0 Gen-99, 055055  001002  
 Class-0 Gen-99, 055055  003003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  003003  
 Class-0 Gen-99, 055055  003003  
 Class-0 Gen-99, 055055  003003  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  002002  
 Class-0 Gen-99, 055055  001003  
 Class-0 Gen-99, 055055  001003  
